seq, var, bits, PSNR, Enc/Dec
bicycle, r01, 210985624, 22.2333984, OK
bicycle, r02, 273461824, 23.1093750, OK
bicycle, r03, 347325184, 23.7572002, OK
bicycle, r04, 439487192, 24.3212013, OK
bicycle, r05, 562166896, 24.7888985, OK
,,,,
bonsai, r01, 42794600, 25.3066349, OK
bonsai, r02, 55369768, 26.8457947, OK
bonsai, r03, 69886472, 27.9417992, OK
bonsai, r04, 87002888, 28.9199276, OK
bonsai, r05, 109653128, 29.9741936, OK
,,,,
counter, r01, 39059696, 23.7749920, OK
counter, r02, 51419048, 25.0202274, OK
counter, r03, 65765632, 25.9575157, OK
counter, r04, 83250968, 26.8907967, OK
counter, r05, 107135256, 27.7608776, OK
,,,,
garden, r01, 203653352, 23.4005337, OK
garden, r02, 265854904, 24.4712219, OK
garden, r03, 335414120, 25.2136059, OK
garden, r04, 419414712, 25.8488102, OK
garden, r05, 534433688, 26.5290470, OK
,,,,
kitchen, r01, 59303312, 24.8704319, OK
kitchen, r02, 78902376, 26.2276917, OK
kitchen, r03, 100732408, 27.1054993, OK
kitchen, r04, 126616584, 27.8527870, OK
kitchen, r05, 163143864, 28.8734035, OK
,,,,
room, r01, 48859632, 26.0458298, OK
room, r02, 64099000, 27.5956097, OK
room, r03, 81641312, 28.5151119, OK
room, r04, 101940680, 29.2627239, OK
room, r05, 127541928, 29.9343319, OK
,,,,
stump, r01, 202372384, 23.7634926, OK
stump, r02, 257043848, 24.6388226, OK
stump, r03, 318012952, 25.1467094, OK
stump, r04, 391936296, 25.5906582, OK
stump, r05, 490226288, 26.0317841, OK
,,,,
